Date,Title,Artist
2000-01-01,Smooth,Santana Featuring Rob Thomas
2000-01-01,Back At One,Brian McKnight
2000-01-01,I Wanna Love You Forever,Jessica Simpson
2000-01-01,My Love Is Your Love,Whitney Houston
2000-01-01,I Knew I Loved You,Savage Garden
2000-01-01,I Need To Know,Marc Anthony
2000-01-01,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip"
2000-01-01,U Know What's Up,Donell Jones
2000-01-01,Bring It All To Me,Blaque
2000-01-01,Girl On TV,LFO
2000-01-01,What A Girl Wants,Christina Aguilera
2000-01-01,24/7,Kevon Edmonds
2000-01-01,Blue (Da Ba Dee),Eiffel 65
2000-01-01,Then The Morning Comes,Smash Mouth
2000-01-01,He Can't Love U,Jagged Edge
2000-01-01,Waiting For Tonight,Jennifer Lopez
2000-01-01,That's The Way It Is,Celine Dion
2000-01-01,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera
2000-01-01,Dancin',Guy
2000-01-01,Steal My Sunshine,Len
2000-01-01,Get It On Tonite,Montell Jordan
2000-01-01,Learn To Fly,Foo Fighters
2000-01-01,Big Deal,LeAnn Rimes
2000-01-01,Meet Virginia,Train
2000-01-01,Unpretty,TLC
2000-01-01,Breathe,Faith Hill
2000-01-01,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne
2000-01-01,"4, 5, 6",Sole Featuring JT Money & Kandi
2000-01-01,Stay The Night,IMx
2000-01-01,Don't Say You Love Me,M2M
2000-01-01,Where My Girls At?,702
2000-01-01,Mambo No. 5 (A Little Bit Of...),Lou Bega
2000-01-01,Hanginaround,Counting Crows
2000-01-01,Take A Picture,Filter
2000-01-01,Get Gone,Ideal
2000-01-01,Someday,Sugar Ray
2000-01-01,He Didn't Have To Be,Brad Paisley
2000-01-01,Got Your Money,Ol' Dirty Bastard Featuring Kelis
2000-01-01,Shake Your Bon-Bon,Ricky Martin
2000-01-01,If You Love Me,Mint Condition
2000-01-01,Black Balloon,Goo Goo Dolls
2000-01-01,Rhythm Divine,Enrique Iglesias
2000-01-01,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-01-01,Satisfy You,Puff Daddy Featuring R. Kelly
2000-01-01,Amazed,Lonestar
2000-01-01,What Do You Say,Reba
2000-01-01,You Can Do It,Ice Cube Featuring Mack 10 & Ms. Toi
2000-01-01,Cowboy Take Me Away,Dixie Chicks
2000-01-01,When I Said I Do,Clint Black
2000-01-01,My Best Friend,Tim McGraw
2000-01-01,Got To Get It,Sisqo Featuring Make It Hot
2000-01-01,All The Small Things,blink-182
2000-01-01,This Gift,98 Degrees
2000-01-01,Auld Lang Syne,Kenny G
2000-01-01,Angels,Robbie Williams
2000-01-01,Say My Name,Destiny's Child
2000-01-01,Pop A Top,Alan Jackson
2000-01-01,Caught Out There,Kelis
2000-01-01,15 Minutes,Marc Nelson
2000-01-01,Heartbreaker,Mariah Carey Featuring Jay-Z
2000-01-01,Higher,Creed
2000-01-01,Bling Bling,"B.G. Featuring Baby, Turk, Mannie Fresh, Juvenile & Lil' Wayne"
2000-01-01,Will 2K,Will Smith Featuring K-Ci
2000-01-01,Deep Inside,Mary J. Blige
2000-01-01,All Things Considered,Yankee Grey
2000-01-01,I Love You,Martina McBride
2000-01-01,Sexual (Li Da Di),Amber
2000-01-01,None Of Ur Friends Business,Ginuwine
2000-01-01,Deck The Halls,SHeDAISY
2000-01-01,Left & Right,D'Angelo Featuring Method Man And Redman
2000-01-01,Smile,Lonestar
2000-01-01,The Great Beyond,R.E.M.
2000-01-01,Bug A Boo,Destiny's Child
2000-01-01,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-01-01,We Can't Be Friends,Deborah Cox With R.L.
2000-01-01,(You Drive Me) Crazy,Britney Spears
2000-01-01,One Night Stand,J-Shin Featuring LaTocha Scott
2000-01-01,N 2 Gether Now,Limp Bizkit Featuring Method Man
2000-01-01,No More Rain (In This Cloud),Angie Stone
2000-01-01,Home To You,John Michael Montgomery
2000-01-01,The Chemicals Between Us,Bush
2000-01-01,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.
2000-01-01,Guerrilla Radio,Rage Against The Machine
2000-01-01,"Live, Laugh, Love",Clay Walker
2000-01-01,Notorious B.I.G.,The Notorious B.I.G. Featuring Puff Daddy & Lil' Kim
2000-01-01,She Thinks My Tractor's Sexy,Kenny Chesney
2000-01-01,Larger Than Life,Backstreet Boys
2000-01-01,There She Goes,Sixpence None The Richer
2000-01-01,The Greatest Romance Ever Sold,Prince
2000-01-01,The Rockafeller Skank,Fatboy Slim
2000-01-01,Give You What You Want (Fa Sure),Chico DeBarge
2000-01-01,Music Of My Heart,*NSYNC & Gloria Estefan
2000-01-01,A Country Boy Can Survive (Y2K Version),Chad Brock With Hank Williams Jr. & George Jones
2000-01-01,I Wanna Know,Joe
2000-01-01,Re-arranged,Limp Bizkit
2000-01-01,L.A. Song,Beth Hart
2000-01-01,Gotta Man,Eve
2000-01-01,The Quittin' Kind,Joe Diffie
2000-01-01,Steam,Ty Herndon
2000-01-01,NAStradamus,Nas
2000-01-08,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2000-01-08,All I Want For Christmas Is You,Mariah Carey
2000-01-08,Love Is Blind,Eve Featuring Faith Evans
2000-01-08,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case"
2000-01-15,Falls Apart,Sugar Ray
2000-01-15,Back At One,Mark Wills
2000-01-15,Do It Again (Put Ya Hands Up),Jay-Z Featuring Beanie Sigel & Amil
2000-01-15,What's My Name,DMX
2000-01-22,Never Let You Go,Third Eye Blind
2000-01-22,It Feels So Good,Sonique
2000-01-22,Everything You Want,Vertical Horizon
2000-01-22,Breathe And Stop,Q-Tip
2000-01-22,Forgot About Dre,Dr. Dre Featuring Eminem
2000-01-22,Untitled (How Does It Feel),D'Angelo
2000-01-22,Smoke Rings In The Dark,Gary Allan
2000-01-29,Bye Bye Bye,*NSYNC
2000-01-29,The Best Day,George Strait
2000-01-29,Thong Song,Sisqo
