,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,hit
0,Jon Pardi,Heartache Medication,5qdQPrWmZv8xYhMJCDrdHF,65,2019,country,0.621,0.791,9,-3.343,1,0.0265,0.0361,0.0,0.143,0.734,95.075,209110,4,True
1,Lil Wayne,Hittas,5s6pKnF3ZPtuqvEx1i1V7U,50,2018,hip-hop,0.788,0.765,2,-3.93,1,0.439,0.274,0.0,0.216,0.666,144.049,223617,4,True
2,JAY-Z,Tom Ford,1PNGJBI1Lx0h8QCpkHKZLU,50,2013,hip-hop,0.863,0.705,8,-6.202,1,0.31,0.05,2.21e-05,0.524,0.599,145.099,189013,4,True
3,Sebastian Mikael,Security Code - Remix,6vOKlLaQVfP4x873M7BCPT,34,2023,soul,0.672,0.483,7,-6.7,0,0.0671,0.151,0.000351,0.485,0.907,72.011,221328,4,False
4,Porta,Este Es Mi Momento,2S6Ao1x0biIYKomIKA2m1C,20,2012,spanish,0.688,0.944,4,-5.408,0,0.396,0.405,0.0,0.0685,0.714,93.789,129440,4,False
5,The Bravery,An Honest Mistake,7DoMGZLVzga3vhyZlb0hBX,54,2005,alt-rock,0.465,0.883,2,-4.259,0,0.0297,3.29e-06,0.506,0.101,0.644,140.047,219707,4,True
6,Russell Dickerson,Blue Tacoma,5PBx0zFfehUMyv5H4YXVAU,63,2017,country,0.458,0.897,9,-4.879,1,0.0402,0.0183,0.0,0.174,0.728,160.131,212067,4,True
7,Green Day,"Good Riddance (Time of Your Life) - Live at Milton Keynes National Bowl, Milton Keynes, England, 6/18/05",0QRfuD33MZUknREAabPjci,37,2005,punk,0.198,0.835,7,-6.96,1,0.0781,0.175,2.7e-06,0.665,0.365,85.44,206027,4,False
8,Gucci Mane,Freaky Gurl,4HE3eDiq3tWhO4AvxdDgfc,36,2015,hip-hop,0.733,0.704,0,-1.527,1,0.0536,0.0346,2.25e-05,0.312,0.663,73.485,223613,4,True
9,Frontliner,All That Matters,2dLzKLWFMDsXUDphBnzlwE,18,2020,hardstyle,0.489,0.731,4,-5.108,0,0.0356,0.439,0.00455,0.14,0.184,74.963,177553,4,False
10,Big & Rich,Holy Water,4qCGe8cM5ycEKcPJdRyk3m,37,2004,country,0.536,0.765,0,-1.991,1,0.0277,0.0451,6.97e-06,0.344,0.456,94.677,256813,4,True
